id	filename	md5	size	state
2d385783-5b11-4998-9adf-244937b92a60	433bca36-a3d5-427b-815f-9b1985a67fad.rna_seq.augmented_star_gene_counts.tsv	b8a3e153d50e1db2210498a4fe24ce15	4238684	released
f3b1cbe4-0673-4705-a7ed-2f16f749a8ae	22a51d06-3716-48ef-a1f5-cbebf459aa3d.rna_seq.augmented_star_gene_counts.tsv	5d9f5171968d5553481712b95c052163	4245614	released
0bd6c26a-892c-40c7-8094-c323fd589e32	01f1cd8f-90da-4f54-9efe-a4ea78a037b7.rna_seq.augmented_star_gene_counts.tsv	c844b262dd51dbc4460b4643408b831d	4244504	released
7e573139-6180-4ea1-be0b-d5df8d13c448	970a9be7-5ccd-487f-92d9-4e194a97d162.rna_seq.augmented_star_gene_counts.tsv	6edf0daedc1d3300b530651825166740	4216121	released
ea1eda77-09f3-4de9-8a9b-cf80fbea65de	c683441d-c5ea-4409-8c26-af272edf8032.rna_seq.augmented_star_gene_counts.tsv	7269463129ff796e165bb54afe4a1580	4227260	released
bed78f69-8e9b-465d-9ae8-1a55eae70e33	7e3744cb-135a-4e08-8fc2-f5407a5e31c0.rna_seq.augmented_star_gene_counts.tsv	635b507951ad1b5649a23a002a4f6f9c	4235101	released
36b3d5c0-41f0-463c-b7a6-eddf2777e627	fa6ab323-bde2-4c1a-b188-449cf2c8a457.rna_seq.augmented_star_gene_counts.tsv	b7d24e9ad24bd853666d35cd7d85220a	4238606	released
85ae46cd-3930-4363-b5bc-0899072e5e8e	0c8dc985-bf38-4cb8-9b37-650730eb4b1e.rna_seq.augmented_star_gene_counts.tsv	7badf168604d72969510e2933456723f	4240221	released
6ccd481f-ca18-45e3-99f3-c341ac358eb8	c44fe389-8b3d-40c5-bfbe-e940a0567e5c.rna_seq.augmented_star_gene_counts.tsv	bae1a66402d08da579938c21e301563c	4215573	released
20e24ee7-52bb-4277-a7f0-218611c68d7a	f99c112d-0f11-4852-961a-efb4db3a110a.rna_seq.augmented_star_gene_counts.tsv	b4906ad4abc728079114ebf58d376382	4239284	released
0ed533db-d680-4aea-8a97-2d1aec402773	37333883-1fbf-43ae-a840-7abb65d9458d.rna_seq.augmented_star_gene_counts.tsv	0977c4eba01f2c7e09198934b271a94d	4240042	released
12584c00-b3ba-41f8-b5d5-bcfd68900e0b	db97187e-91f3-4e9b-b596-2b91143dd7e9.rna_seq.augmented_star_gene_counts.tsv	4952a2d46d6ce91da65d8f1ff9a7e172	4246516	released
0695a872-e08d-42bb-8187-2fa7c3076a40	86994e55-f28b-4ce8-b55f-0878bcce4832.rna_seq.augmented_star_gene_counts.tsv	bd540e916957562d8491aaaeb498769e	4218415	released
718cb9f9-5ade-4c76-86d1-76d1f2fd5ac5	ae8bd02a-8f3a-4c7d-b780-decc3f50a676.rna_seq.augmented_star_gene_counts.tsv	f1a0f5861b978ca3856d634ecc71eeab	4241568	released
091d9ed1-6127-4b37-b2d5-a463b28e2e9e	c8d14d90-63a8-4576-ae80-ef8582792d16.rna_seq.augmented_star_gene_counts.tsv	40f40e2d96bb24a4d08132667ad8a3b5	4238512	released
668aa8c5-9d33-4efb-a664-9facc4631d91	8bad636e-76fd-497d-88b2-da3b17e39db8.rna_seq.augmented_star_gene_counts.tsv	370266287eefb97cd492e7ecc939388e	4246745	released
f6aa87e9-4e25-46f4-862b-0b78aec95b93	81573ecd-46dd-4bab-83e6-5d0d0d083809.rna_seq.augmented_star_gene_counts.tsv	06dc03d71e3120467ec82a24f30821c6	4243464	released
1daeecbb-d35f-47ec-bf14-7e74ea15c984	eefa0692-7324-4871-a96b-442fb1a5a65c.rna_seq.augmented_star_gene_counts.tsv	96f0da6a09ab4049fa84a344538ba978	4232943	released
a0dcc98a-2a34-4012-8591-9fc899059f1c	7b357410-b2eb-46ac-8046-09c95f2d2d39.rna_seq.augmented_star_gene_counts.tsv	a0a808ddd9e7b046e1b33a4b944e5fbc	4250792	released
fa5e8d87-03b2-4890-b326-b6231e00d3b4	1f6d184f-9dfa-4f54-87a1-489bbd7d8f6b.rna_seq.augmented_star_gene_counts.tsv	892de4e69919b8e6822a3476bc5e90aa	4235004	released
d92be685-11ea-4205-a01b-84b98d699610	d1cc642c-aa42-4704-ac4f-dc652b4f915e.rna_seq.augmented_star_gene_counts.tsv	f9a89c78d98bf402a3ec11e2ba759bb2	4231533	released
6c3faae2-4605-4891-bcd4-28da019c7f85	f62f0332-06f3-42bd-977e-91d9693a9197.rna_seq.augmented_star_gene_counts.tsv	7459b3eeae6281ad05da78bd219258b3	4251981	released
26431443-bd82-4e6b-b4e0-80090ad7e14b	65eac442-936f-47e2-987b-a9a40b3d33fa.rna_seq.augmented_star_gene_counts.tsv	c312aa7561d06951dc9f1583282da3ad	4237387	released
d4de01f7-16a7-48e8-99b6-e3209d4ad09b	eb94366a-78b6-4d0b-bdd4-96b350f2965a.rna_seq.augmented_star_gene_counts.tsv	67e17fc391d7ee8a22eabfb6c148bb1f	4252942	released
403bb101-edc8-4ff5-a2e7-7cc6e24af938	ea638d23-a89d-44d2-b223-9fb9ceeaa606.rna_seq.augmented_star_gene_counts.tsv	f230e2ac9e453b3d380bd1b457cbe189	4226581	released
d6eb247c-64d6-44e8-9ca3-dbef4ff3d35c	40b656be-4cd1-4c91-86ee-108a707427e5.rna_seq.augmented_star_gene_counts.tsv	aeba3d0bbdbfed5a60039224b880f6dd	4230108	released
4f91450f-0aaa-4e84-ad45-6486d55ce2c7	6ce6351c-7d6f-402d-b7a1-41230fef71dc.rna_seq.augmented_star_gene_counts.tsv	9cb4afba86e9c6530c85abe3587f1430	4236615	released
a190f145-a220-4f08-8d7a-233b80d811cc	ad7106b9-5bab-4854-80b9-0d31732bc3f8.rna_seq.augmented_star_gene_counts.tsv	e67e0a3c9e2c81baa4ebfd2d49ee3280	4241724	released
a877d371-4cb0-4974-b8e2-62bee7a34920	6c1af495-e7b6-43f4-a8f3-e0dbbceec1e0.rna_seq.augmented_star_gene_counts.tsv	a654936b49993514d08eaab2fdf2ca65	4241350	released
8c168e60-209e-4cd5-a5fd-b0cebe2761cc	df926078-0220-4916-8387-56b0e6f87895.rna_seq.augmented_star_gene_counts.tsv	54b0a5a106b90dc4588327831aa506d1	4234991	released
50d4b3a0-b87d-4b2a-9c0f-187b2fd1f1fb	465c7080-be77-4695-9103-d51ac51e170f.rna_seq.augmented_star_gene_counts.tsv	e07e7a505b18ed8168430f044fd4d451	4233938	released
224b8901-fe2c-47f3-8eb2-fed9e1ccf05b	abf0f556-60d7-4a12-8ce6-26d7eb8cdd81.rna_seq.augmented_star_gene_counts.tsv	2bfee7cb8a925273b4b2b5f2b40c4506	4223678	released
ebed08ea-5b6b-4948-a494-7fcfec943ae6	8056f73e-bdee-4c57-9cd7-4a810d89c470.rna_seq.augmented_star_gene_counts.tsv	cf0435becd373f56a9652a62f9529a6d	4210799	released
d897497b-fbff-4ba1-9810-a630ab439410	687d2cbd-3c3d-458e-a060-8340b9008bac.rna_seq.augmented_star_gene_counts.tsv	3a542b7d5bc8077242bd771e7891b94b	4203295	released
3390741f-1603-4c32-935f-44077da0d0cf	7b2ed5d9-9a0d-46ee-91f5-9f19a8a6e747.rna_seq.augmented_star_gene_counts.tsv	7b721821874f8b8a69d28c70ce10bb0a	4230615	released
1a70fc30-c323-464e-9d96-3cc86fb34e37	ee0c0e7a-05ec-404d-babd-5d51b71da9c1.rna_seq.augmented_star_gene_counts.tsv	82802c0c5150faf7bab434d8b83dde35	4237953	released
ec47bf8b-d7b3-49e3-af9f-64757da2a3c0	c6b97d40-cccd-4dad-b712-a21873031aaa.rna_seq.augmented_star_gene_counts.tsv	5cf5793c3617f41986030f2dd7699f9c	4246198	released
116f4bad-d358-48aa-b748-755644f7ca44	ff4e9865-4bbb-4ca1-a9d1-941527d43857.rna_seq.augmented_star_gene_counts.tsv	757b42e56297c998d471c1dc4bbc74d9	4225213	released
02298f54-33c7-4d8b-8a3d-6c94613ab7b0	350e6b12-e28c-41b0-936e-1c7565a4dfde.rna_seq.augmented_star_gene_counts.tsv	d839daf165d3189930120ca270a676fa	4240486	released
f5778aa3-76ec-4d2d-9443-c2a679bcad67	8cf90742-1a13-4404-adb5-0304fe614da2.rna_seq.augmented_star_gene_counts.tsv	09bbfa8abbc24e8f7f7422d753d5383b	4215375	released
25e923e1-24ce-44a9-934c-20df73d33686	acfb6bc0-2972-48f8-9926-5a5ef46e8d86.rna_seq.augmented_star_gene_counts.tsv	7d9634f48654e3a41c5d1e192a6180e6	4229913	released
442a19bb-59b0-4c5a-841f-2e31ccd0ef1f	84ba4843-7c05-445e-a2eb-e056163507d6.rna_seq.augmented_star_gene_counts.tsv	2d6043382e00c5683f19f7ccbd94df17	4245464	released
41d2e95c-1dd1-46f4-8781-6649be8e86ba	e167486d-404e-4159-8e45-6694bf1ffdb6.rna_seq.augmented_star_gene_counts.tsv	f96797e886c4a21083d1a732df0f093e	4244674	released
7f418c7b-0001-46c1-b6ec-017ae42c4532	e2052649-97fc-4f97-9a01-992b03e52a7a.rna_seq.augmented_star_gene_counts.tsv	4e52d39dd411af327e5395c71655be88	4254390	released
72768520-c92d-43a3-a003-e018e0249551	76cd1f5f-f269-4520-9b24-1516d4380fe6.rna_seq.augmented_star_gene_counts.tsv	712205271d01e5eacab7c40e14afc730	4254537	released
7c1b526c-03c9-4263-b1df-f3665add802c	4e86718f-bdf5-4fed-9a90-d8f346afeb7e.rna_seq.augmented_star_gene_counts.tsv	9b72ec62db2988b6c440bb79d258b64a	4253615	released
cee11d01-1b79-46df-a882-3c8add30101d	75c1f581-2d4e-409e-8880-aa38926d0088.rna_seq.augmented_star_gene_counts.tsv	0479b064624ee8b31c3195990a17d1f7	4235648	released
